EnrolledElectiveBefore,GradeAvgPrevElec,Grade,Major,Class,GradePerm,Course1,Course2,Course3,Course4,Course5
1,64.05,64.52,1,4,67,0,0,69.69,56.09,0
1,53,76.66,1,4,60.55,68.64,0,62.3,0,0
1,38.75,44.65,2,1,56.35,0,47.9,0,0,0
1,73.03,56.25,3,3,60.42,61.74,0,0,70.91,0
1,64.15,75.01,2,4,73.71,0,0,70.98,0,75.22
0,0,65.2,3,4,89.89,0,0,75.48,0,0
1,64.72,79.36,2,1,67.18,63.19,0,0,0,0
0,0,78.09,1,3,75.67,0,0,88.58,0,0
1,60.08,58.02,2,2,80.01,0,0,57.98,63.02,0
1,72.01,74.07,1,2,69.4,75.66,0,0,82.8,0
1,61.17,82.02,3,3,75,0,0,0,75.5,78.86
1,54.07,71.47,1,3,70.64,0,62.62,72.29,0,0
0,0,60.23,2,2,68.92,0,0,0,68.83,0
1,58.71,78.79,3,3,72.39,62.84,0,0,78.22,0
0,0,76.35,2,4,75.84,0,0,0,0,90.35
0,0,75.43,2,1,63.71,0,0,0,0,86.7
1,58.27,77.16,2,4,73.35,0,0,70.37,0,70.49
1,66.86,40.05,1,2,64.16,0,0,0,56.77,46.75
0,0,78.81,3,2,56.89,0,0,0,0,88.18
1,48.26,88.08,2,4,80.09,0,67.38,0,0,60.32
0,0,74.37,1,3,66.66,0,0,0,0,85.17
1,44.18,71.93,2,1,78.3,54.78,0,0,0,0
0,0,76.96,3,1,56.91,0,0,86.29,0,0
0,0,73.38,1,2,99.29,0,0,83.34,0,0
0,0,76.52,2,3,54.8,0,0,88.05,0,0
0,0,70.01,2,1,70.18,0,0,0,78.69,0
0,0,62.33,1,1,78.55,0,0,72.78,0,0
1,52.97,59.96,3,3,58.96,0,0,0,66.37,65.75
1,26.98,60.02,3,3,85.88,42.85,0,0,52.02,0
0,0,56.27,3,4,60.67,0,0,0,0,66.65
0,0,59.32,1,2,77.57,0,0,70.77,0,0
0,0,87.61,1,1,53.95,0,0,99.12,0,0
1,45.32,77.54,2,4,68.81,0,0,66.2,52.2,0
1,53.41,63.75,1,2,62.96,0,0,66.42,60.94,0
0,0,66.1,2,2,88.02,0,0,79.12,0,0
1,52.46,71.13,1,3,61.85,68.96,0,69.07,0,0
0,0,63.44,3,4,78.07,0,0,0,75.67,0
0,0,70.68,3,1,80.99,0,0,79.84,0,0
1,48.1,77.78,1,3,75.68,69.31,0,0,55.91,0
0,0,69.64,1,4,74.99,0,0,83.46,0,0
1,63.77,73.36,3,3,57.98,0,0,0,66.11,77.55
1,29.75,78.86,3,2,74.83,0,61.54,0,0,56.35
1,51.91,67.28,1,1,75.73,65.64,0,0,0,0
1,55.86,72.85,3,4,61.6,0,0,0,70.27,71.2
1,49.35,66.91,1,4,64.71,0,0,64.8,0,52.55
1,86.08,69.71,1,3,62.59,0,0,0,82.6,86.34
0,0,66.75,1,4,70.43,0,0,0,77.17,0
1,79.79,64.71,1,2,61.04,0,0,0,67.79,70.06
1,46.76,71.74,1,1,73.56,58.99,0,0,0,0
0,0,75.67,1,3,85.43,0,0,0,0,87.08
0,0,71.46,2,1,67.21,0,0,83.7,0,0
1,71.57,74.99,1,2,74.61,65.15,74.4,0,0,0
0,0,62.62,1,4,52.77,0,0,71.74,0,0
0,0,57.96,2,4,56.83,0,0,70.71,0,0
1,53.64,74.17,3,2,72.78,72.03,0,0,0,64.66
1,72.94,76.88,1,3,76.88,84.31,0,0,0,68.4
0,0,70.5,1,2,72.16,0,0,75.98,0,0
1,82.7,83.48,2,2,55.94,84.54,76.87,0,0,0
0,0,79.08,3,2,60.34,0,0,0,88.82,0
0,0,96.81,1,1,62.89,0,0,0,0,100
1,63.31,67.99,1,3,78.02,0,0,0,68.2,72.97
0,0,60.01,2,3,76.89,0,0,0,0,71.35
0,0,62.6,3,2,44.65,0,0,70.49,0,0
0,0,64.35,3,2,75.88,0,0,0,0,72.06
1,79.47,74.76,3,1,72.84,83.19,0,0,0,0
1,100,48.42,3,3,53.93,82.8,0,0,74.81,0
0,0,83.19,2,1,96.81,0,0,0,92.16,0
1,50.12,67.61,2,3,61.39,0,0,49.56,0,65.92
0,0,67.53,1,3,57.78,0,0,77.51,0,0
0,0,59.21,1,1,65.27,0,0,0,0,69
0,0,68.86,2,1,79.11,0,0,78.1,0,0
0,0,70.13,3,4,74.97,0,0,0,79.79,0
0,0,68.78,1,2,58.5,0,0,79.43,0,0
1,76.45,73.39,1,4,63.74,69.61,0,66.21,0,0
0,0,64.1,3,4,68.41,0,0,0,0,72.13
1,54.79,61.04,1,4,70.86,0,0,55.17,0,50.14
0,0,75.48,2,3,78.78,0,0,88.73,0,0
1,35.51,70.99,2,2,60.58,0,0,49.41,0,60.61
1,36.48,71.97,1,3,61.42,0,63.91,0,58.97,0
1,42.31,80.59,2,2,69,67.51,0,0,61.3,0
1,79.52,59.77,1,2,82.57,0,0,75.42,0,61.77
1,73.43,61.45,1,3,78.76,0,0,76.38,64.73,0
0,0,82.57,2,2,51.51,0,0,0,0,92.76
1,40.02,55.17,2,1,56.25,0,47.35,0,0,0
1,30.47,56.91,2,4,65.99,0,0,34.99,36.8,0
1,50.1,78.18,1,1,72.47,68.62,0,0,0,0
1,62.64,72.38,2,2,79.27,73.09,72.17,0,0,0
0,0,71.05,3,3,70.4,0,0,81.64,0,0
1,75.72,69.08,1,3,64.86,0,0,70.3,0,74.35
1,64.26,70.31,1,3,73.11,0,0,65.39,0,57.9
0,0,69.08,3,2,75.95,0,0,0,0,76.85
0,0,83.55,3,1,86.86,0,0,94.77,0,0
1,46.3,66.02,1,2,83.43,0,0,0,61.16,47.52
0,0,68.39,3,4,76.8,0,0,0,0,78.77
0,0,87.94,2,4,72.85,0,0,0,97.42,0
0,0,70.28,2,4,88.01,0,0,80.89,0,0
0,0,92.32,1,4,54.43,0,0,0,100,0
1,74.05,68.95,1,1,59.06,0,71.79,0,0,0
1,81.18,83.67,2,2,80.98,0,0,89.84,78.47,0
0,0,53.45,1,2,62.11,0,0,61.41,0,0
0,0,71.54,2,3,66.37,0,0,0,82.05,0
1,26.41,54.16,3,1,79.29,34.17,0,0,0,0
0,0,78.44,3,2,63.62,0,0,92.35,0,0
1,78.37,57.87,3,1,66.44,60.32,0,0,0,0
1,60.97,72.84,1,2,75.57,64.77,0,0,69.02,0
1,40.8,67.18,3,1,66.91,0,53.82,0,0,0
1,51.22,58.42,2,2,74.01,0,0,57.07,0,64.06
0,0,53.81,2,1,59.64,0,0,64.04,0,0
0,0,64.89,2,3,55.83,0,0,0,75.96,0
0,0,87.41,2,4,68.62,0,0,0,0,97.97
1,58.35,67.07,2,1,65.31,65.68,0,0,0,0
0,0,79.17,3,2,52,0,0,0,89.18,0
1,41.87,69.43,2,4,70.25,0,0,49.4,63.1,0
1,56.37,78.77,3,1,54.58,0,72.85,0,0,0
1,82.77,51.73,2,2,56.91,0,0,62.66,0,67.25
0,0,65.97,1,3,94.64,0,0,73.17,0,0
1,53.34,79.49,3,3,68.4,0,0,0,65.35,75
0,0,68.37,1,2,83.55,0,0,81.84,0,0
0,0,69.14,3,1,70.39,0,0,0,84.21,0
1,77.72,65.7,3,4,65.07,78.66,0,0,64.5,0
0,0,81.49,1,4,66.79,0,0,0,0,93.6
1,62.46,72.98,2,2,64.89,0,64.97,0,0,64.96
1,61.44,70.44,2,1,62.53,0,58.76,0,0,0
0,0,76.43,2,4,56.93,0,0,0,0,86.51
0,0,75.88,2,1,54.36,0,0,0,0,86.67
1,49.83,72.13,3,4,82.58,61.51,0,0,0,52.37
0,0,85.47,2,4,64.93,0,0,0,93.22,0
1,24.54,69.4,3,3,69.92,0,0,0,46.4,55.51
0,0,72.78,3,2,89.67,0,0,0,0,80.97
1,39.78,63.57,3,1,61.39,0,55.88,0,0,0
0,0,71.5,1,4,68.12,0,0,80.73,0,0
1,90.17,85.88,1,1,83.07,0,78.89,0,0,0
0,0,63.57,2,1,67.77,0,0,75.54,0,0
1,62.93,58.66,3,2,76.43,0,0,61.76,0,60.5
0,0,79.97,2,4,85.61,0,0,0,0,88.66
0,0,68.51,1,2,70.68,0,0,0,73.54,0
0,0,70.96,1,1,82.02,0,0,0,0,78.98
1,65.32,69.55,1,1,52.86,0,68.24,0,0,0
0,0,70.79,3,1,85.31,0,0,78.7,0,0
1,60.13,78.51,1,3,80.66,0,65.18,0,77.58,0
0,0,61.61,1,3,61.51,0,0,75.06,0,0
1,66.81,59.88,2,1,86.61,0,72.34,0,0,0
0,0,70.85,2,1,88.33,0,0,82.48,0,0
0,0,53.94,2,4,68.73,0,0,63.57,0,0
0,0,56.27,2,3,72.73,0,0,0,0,65.25
0,0,88.67,1,1,59.32,0,0,0,0,99.87
0,0,77.57,1,2,59.49,0,0,0,90.48,0
1,47.92,69.9,3,2,70.08,0,0,55.16,53.82,0
0,0,82.38,1,3,71.83,0,0,0,92.33,0
0,0,59.59,2,1,58.98,0,0,0,0,70.36
1,77,66.84,3,2,61.64,0,0,0,66.75,74.77
0,0,76.23,3,1,87.11,0,0,82.22,0,0
0,0,78.91,1,4,70.69,0,0,85.34,0,0
0,0,75.13,1,4,95.4,0,0,0,0,84.03
1,71.77,44.59,3,3,87.94,53.44,0,0,58.91,0
0,0,60.32,3,1,52.25,0,0,0,0,72.36
0,0,74.77,3,4,69.16,0,0,0,83.19,0
1,56.75,66.44,1,1,58.66,0,67.57,0,0,0
0,0,95.4,2,1,63.57,0,0,0,100,0
1,54.11,79.27,3,2,58.12,71.52,69.65,0,0,0
0,0,75.58,1,2,84.83,0,0,0,0,84.78
0,0,58.83,3,3,77.75,0,0,71.53,0,0
1,66.59,69.65,1,1,66.75,70.46,0,0,0,0
1,56.71,72.41,1,4,74.37,66.18,0,0,0,66.8
0,0,81.28,1,4,53.7,0,0,0,0,89.87
0,0,78.81,1,1,73.38,0,0,0,0,84.65
0,0,80.33,3,3,61.9,0,0,86.74,0,0
1,52.95,60.76,2,4,52.03,0,0,50.7,0,58.66
1,56.75,84.12,3,2,75.89,0,0,69.46,0,64.15
0,0,56.2,3,2,72.99,0,0,67.53,0,0
0,0,64.64,2,2,70.66,0,0,0,0,77.53
0,0,74.31,1,1,76.23,0,0,0,0,87.47
0,0,68.5,2,2,83.03,0,0,0,78.01,0
0,0,59.94,3,3,45.62,0,0,0,71.85,0
1,63.57,61.78,1,2,74.09,0,0,57.93,0,70.67
0,0,54.52,3,1,63.16,0,0,0,0,62.35
1,51.15,75.32,1,1,81.04,0,64.62,0,0,0
0,0,82.61,3,1,48.21,0,0,0,92.52,0
0,0,69,1,1,92.32,0,0,0,0,78.89
0,0,66,3,2,75.43,0,0,0,70.81,0
1,54.31,55.28,1,4,74.01,0,0,0,49.57,50.53
1,33.86,79.13,2,2,71.25,62.25,62.5,0,0,0
1,40.45,92.11,3,3,55.68,74.25,0,0,0,68.09
0,0,52.03,2,1,69.36,0,0,0,0,63.45
0,0,59.37,1,2,75.13,0,0,0,0,67.12
1,58.02,63.2,1,2,75.17,0,0,0,57.24,51.23
1,66.07,64.36,2,1,70.01,0,63.97,0,0,0
1,63.36,72.27,1,2,60.16,65.7,0,66.72,0,0
1,64.94,86.14,1,2,76.5,0,0,0,78.84,73.32
0,0,80.09,1,1,51.73,0,0,89.98,0,0
0,0,75.28,2,3,66.24,0,0,87.78,0,0
0,0,62.76,3,4,67.53,0,0,0,73.18,0
1,54.27,58.8,3,3,89.47,0,0,0,48,48.37
1,56.64,62.03,3,3,67.52,60.58,0,0,0,67.89
0,0,85.48,1,3,59.88,0,0,0,0,98.36
1,54.37,69.38,1,4,56.35,0,0,70.6,56.12,0
0,0,65.53,2,3,62.9,0,0,0,0,76.2
0,0,68.16,2,2,63.96,0,0,0,0,79.63
1,85.06,78.25,2,4,60.07,0,83.49,77.58,0,0
0,0,56.87,2,2,67.28,0,0,0,68.77,0
1,59.98,84.15,1,2,71.75,0,0,72.53,0,73.47
1,49.69,71.56,2,3,61.2,63.52,0,59.41,0,0
1,58.24,67.84,2,2,64.78,0,0,62.76,0,58.83
1,66.99,74.43,2,3,72.95,72.87,0,72.8,0,0
0,0,72.18,3,2,63.3,0,0,0,0,82.9
0,0,66.56,1,2,66.65,0,0,0,0,74.44
0,0,67.47,2,1,81.32,0,0,77.16,0,0
1,46.23,61.31,1,2,76.04,0,0,51.42,47.65,0
1,63.79,76.56,2,3,71.5,0,60.97,0,75.65,0
1,72.3,64.68,3,1,59.22,0,58.54,0,0,0
0,0,60.44,3,1,59.73,0,0,0,0,71.42
1,58.64,71.66,1,4,77.13,0,61.83,0,69.64,0
1,80.51,83.29,2,4,80.81,76.11,0,75.66,0,0
1,75.52,69.52,3,2,52.88,0,0,70.95,0,67.96
1,45.06,63.92,2,3,69.19,0,0,45.82,46.29,0
0,0,74.04,2,1,70.16,0,0,0,87.2,0
0,0,89.37,3,2,72.86,0,0,0,96.58,0
1,75.43,55.48,3,4,68.97,72.03,0,0,0,66.47
1,58.92,73.82,3,2,62.34,66.49,0,0,67.21,0
0,0,72.05,1,1,67.65,0,0,0,82.76,0
0,0,81.62,1,4,61.91,0,0,0,91.82,0
0,0,79.91,1,3,83.14,0,0,0,90.11,0
1,25.19,68.13,1,2,60.67,0,0,0,43.32,41.22
1,64.76,53.15,3,2,76.64,0,0,0,57.45,52.31
0,0,78.07,3,2,81.28,0,0,0,89.88,0
1,63.38,61.65,3,3,84.14,53.25,0,0,0,61.73
1,66.75,60.53,2,3,53.04,0,0,0,65.38,55.88
1,58.99,81.48,3,2,84.87,0,73.38,0,66.85,0
1,40.22,60.89,3,2,74.43,0,0,48.44,0,58.18
1,54.44,84.03,3,3,65.2,72.24,0,0,78.98,0
0,0,73.36,3,2,79.36,0,0,0,0,82.33
0,0,73.19,3,2,72.75,0,0,82.75,0,0
0,0,73.07,1,3,71.66,0,0,0,0,82.18
1,66.79,53.62,1,1,83.99,52.27,0,0,0,0
0,0,52.24,3,1,68.88,0,0,0,62.83,0
1,53.28,72.16,2,2,56.3,58.15,0,0,0,66.38
0,0,75.68,2,3,76.56,0,0,0,85.29,0
1,59.65,70.83,2,2,64.52,0,0,67.81,0,55.93
1,76.19,61.78,2,4,78.96,0,0,61.93,74.05,0
0,0,70.19,3,2,91.98,0,0,78.49,0,0
0,0,69.18,2,2,75.07,0,0,82.39,0,0
0,0,60.43,1,1,76.27,0,0,68.2,0,0
1,31.73,80.14,2,4,67.31,0,56.62,0,53.64,0
0,0,52.7,2,4,50.57,0,0,0,0,62.58
0,0,75.89,2,1,66.42,0,0,0,84.85,0
1,63.29,73.84,2,2,70.91,0,61.19,64.77,0,0
1,65.9,80.1,1,3,74.66,0,74.65,0,0,74.03
1,45.92,59.95,2,1,65.2,0,57.48,0,0,0
1,75.26,71.01,1,3,77.83,0,67.88,68.98,0,0
0,0,91.71,2,3,57,0,0,0,0,100
1,65.94,76.62,1,4,87.35,70.91,0,0,0,76.43
0,0,71.01,3,4,70.86,0,0,80.11,0,0
0,0,75.39,1,3,71.42,0,0,0,83.83,0
0,0,70.86,1,2,69.02,0,0,80.3,0,0
0,0,91.91,2,4,63.78,0,0,0,0,99.65
1,50.15,79.84,1,1,87.41,70.95,0,0,0,0
1,17.48,69.14,1,3,71.72,0,0,51.61,46.76,0
1,91.75,72.52,1,2,69.38,0,77.6,73.48,0,0
0,0,66.09,2,2,72.38,0,0,75.99,0,0
1,59.46,82.1,3,2,73.26,64.3,75.49,0,0,0
0,0,55.94,3,3,80.21,0,0,65.42,0,0
0,0,53.95,2,3,66.22,0,0,0,0,63.15
1,74.24,84.59,3,4,48.79,77.37,0,0,79.95,0
1,37.46,91.53,2,2,84.97,0,0,0,57.01,62.61
1,33.33,74.68,2,4,73.36,0,45.65,54.72,0,0
1,52.01,71.13,1,1,62.76,54.42,0,0,0,0
1,76.36,76.57,2,2,66.56,0,0,0,71.54,70.42
1,54.81,63.53,3,4,70.38,57.71,0,0,0,57.22
0,0,71.71,2,3,87.06,0,0,82.68,0,0
0,0,70.39,1,4,64.21,0,0,81.84,0,0
1,76.23,76.27,1,4,69.8,0,0,0,76.42,67.34
1,38.33,54.42,3,4,84.23,0,0,0,54.44,55.45
1,41.84,64.93,3,1,74.2,0,44.21,0,0,0
1,48.17,78.45,3,1,75.39,0,69.2,0,0,0
1,76.42,63.24,1,1,63.92,60.57,0,0,0,0
1,63.52,60.07,2,2,70.01,0,0,52.29,0,53.02
1,91.98,90.42,2,1,80.1,92.41,0,0,0,0
1,74.05,70.38,1,1,59.59,0,65.93,0,0,0
1,59.47,64.21,2,3,59.36,0,0,54.27,53.27,0
1,78.98,53.08,2,2,74.56,0,0,0,69.99,71.19
0,0,77.29,2,1,73.33,0,0,90.13,0,0
0,0,76.99,1,4,69.63,0,0,0,0,89.92
0,0,67.01,2,4,80.62,0,0,0,78.71,0
0,0,58.98,3,1,80.54,0,0,68.28,0,0
1,55.64,69.75,1,3,88.67,0,0,0,59.32,61.26
1,79.92,61.64,1,3,72.1,0,0,70.98,64.48,0
1,58.48,60.58,2,4,71.84,0,0,57.91,61.69,0
0,0,68.97,3,1,65.1,0,0,0,0,78.25
1,53.03,59.49,1,1,65.74,59.03,0,0,0,0
1,75.33,72.47,2,1,69.08,75.3,0,0,0,0
1,51.71,76.08,1,1,70.83,63.29,0,0,0,0
1,54.2,61.6,1,4,76.09,0,0,60.26,0,62.9
1,52.35,56.32,1,2,62.56,0,0,0,48.05,46.11
1,62.76,85.61,3,4,77.29,69.45,0,0,0,74.86
1,54.22,60.6,3,4,62.7,54.2,0,0,0,48.15
0,0,63.4,3,1,66.94,0,0,0,0,74.77
0,0,72.13,3,2,54.42,0,0,84.56,0,0
0,0,75.99,3,4,71.99,0,0,0,87.56,0
0,0,67.44,3,4,78.84,0,0,0,75.84,0
1,72.19,74.61,2,2,62.76,0,0,0,81.93,75.11
1,68.81,65.99,3,1,70.79,62.48,0,0,0,0
0,0,60.29,3,1,82.82,0,0,70.6,0,0
1,47.76,84.26,1,3,64.46,64.04,0,0,0,59.3
0,0,94.88,1,2,71.98,0,0,100,0,0
0,0,86.96,3,4,72.05,0,0,0,98.15,0
1,97.46,71.42,3,2,61.45,0,89.7,89.91,0,0
0,0,88.33,1,1,83.66,0,0,99.29,0,0
1,68.46,73.56,1,1,52.03,0,78.94,0,0,0
0,0,65.23,1,4,64.77,0,0,0,74.07,0
1,58.43,74.66,1,4,52.24,0,62.67,0,62.24,0
0,0,69.06,1,1,68.13,0,0,0,0,82.75
0,0,60.17,1,1,65.01,0,0,69.91,0,0
0,0,61.02,1,3,87.03,0,0,0,0,70.44
0,0,78.02,2,1,79.08,0,0,89.65,0,0
1,58.01,51.53,3,3,65.69,47,0,0,0,54.98
1,48.51,76.04,3,1,79.17,0,52.61,0,0,0
1,68.34,53.7,1,4,65.23,0,0,0,51.27,63.62
0,0,48.79,3,1,70.73,0,0,0,58.69,0
1,70.8,51.61,1,2,51.62,0,0,52.82,67.14,0
0,0,89.67,2,1,83.44,0,0,0,98.02,0
1,64.55,68.04,2,4,66.02,0,0,66.32,74.24,0
0,0,70.87,3,2,57.81,0,0,0,0,83.06
0,0,84.19,2,4,70.19,0,0,0,0,95.8
0,0,79.34,1,2,62.62,0,0,88.47,0,0
0,0,56.08,2,1,78.87,0,0,0,0,65.26
1,59.78,78.69,1,4,66.45,0,74.98,77.57,0,0
1,72.32,71.84,3,4,67.18,0,0,0,75.86,73.23
1,70.06,66.58,1,3,86.14,0,0,77.48,0,77.96
0,0,70.24,3,2,67.78,0,0,0,80.56,0
1,60.6,82.8,3,1,63.84,0,80.96,0,0,0
0,0,61.14,1,4,76.35,0,0,0,0,70.16
0,0,74.01,3,3,60.02,0,0,0,83.65,0
1,63.99,69.9,3,4,53.36,58.56,0,0,65.33,0
1,70.85,52.03,2,4,68.58,0,0,68.7,0,66.05
1,60.37,61.98,2,2,70.5,0,0,57.35,53.56,0
0,0,71.93,1,2,62.79,0,0,0,0,82.63
1,43.46,82.97,1,2,74.77,0,0,0,54.24,62.8
1,58.47,80.01,3,2,53.52,0,0,0,63.16,69.68
0,0,75.97,2,3,69.5,0,0,0,0,86.31
1,87.74,61.85,3,3,67.96,66.84,0,0,0,69.27
0,0,88.01,1,1,70.13,0,0,0,0,96.1
1,52.51,72.15,1,2,74.94,64.08,0,0,0,60.43
1,60.32,59.94,2,2,69.53,0,0,56.5,0,57.28
0,0,68.17,3,2,74.07,0,0,81.2,0,0
0,0,78.96,2,2,76.62,0,0,0,89.62,0
1,54.52,70.08,1,2,68.12,68.02,0,59.17,0,0
1,33.13,78.87,1,2,68.57,0,62.75,0,63.54,0
0,0,81.04,2,3,66.3,0,0,0,89.93,0
1,55.24,74.01,2,2,67.89,64.87,0,0,0,57.66
1,35.51,61.42,3,4,62.26,0,0,0,49.24,42.45
1,58.99,71.35,2,4,64.1,0,0,60.71,0,67.07
1,82.34,70.45,3,3,68.78,70.99,0,0,74.6,0
1,67.82,88.59,1,4,67.28,0,0,85.78,0,80.02
1,69.18,53.74,2,1,67.45,70.81,0,0,0,0
0,0,68.65,2,3,66.36,0,0,0,75.57,0
0,0,64.16,3,1,66,0,0,0,76.3,0
1,62.23,73.35,3,4,83.48,61.39,0,0,65.29,0
0,0,45.62,3,1,55.53,0,0,52.5,0,0
1,66.34,81.15,1,4,70.31,68.41,82.6,0,0,0
0,0,70.14,2,3,78.98,0,0,0,79.97,0
0,0,51.55,2,3,69.9,0,0,0,63.67,0
1,48.63,66.39,3,2,89.14,0,0,0,60.56,48.12
1,59.25,76.09,1,4,79.88,0,0,69.96,73.98,0
1,46.54,54.09,2,2,77.3,0,0,47.42,0,47.15
1,79.69,70.03,1,1,65.19,68.9,0,0,0,0
1,47.12,59.43,3,4,70.79,46.73,0,0,0,50.43
0,0,64.44,3,4,67.07,0,0,0,74.83,0
1,61.12,70.27,1,1,84.56,63.63,0,0,0,0
1,43.84,71.83,1,4,70.28,0,67.34,0,0,48.17
1,53.63,65.29,1,3,70,0,0,53.93,0,57.22
0,0,72.73,1,1,83.97,0,0,83.42,0,0
0,0,78.18,1,2,55.41,0,0,90.23,0,0
1,71.79,67.21,1,3,48.76,0,0,65.48,60.22,0
1,59.14,84.32,3,4,71.54,0,0,0,76.87,75.95
0,0,84.62,1,2,65.25,0,0,0,0,92.4
1,74.11,65.71,1,3,69.01,0,0,0,71.94,67.45
1,66.08,63.62,2,4,74.76,0,0,55.97,65,0
1,67.47,53.36,3,4,60.77,63.64,0,0,68.88,0
0,0,68.73,3,4,51.55,0,0,0,73.75,0
0,0,66.37,3,1,65.9,0,0,0,0,76.3
0,0,77.79,1,1,72.48,0,0,0,0,89.12
1,52.01,54.9,1,4,55.21,0,0,0,54.24,52.56
0,0,67.23,1,4,66.1,0,0,77.5,0,0
0,0,79.69,1,2,55.73,0,0,0,0,87.86
0,0,62.7,2,4,84.03,0,0,0,73.6,0
0,0,62.38,1,1,69.55,0,0,0,69.86,0
0,0,55.53,1,4,70.38,0,0,64.53,0,0
0,0,96.21,2,4,63.44,0,0,0,100,0
1,85.23,62.53,1,3,67.89,0,0,0,65.8,69.9
1,47.21,57,1,2,60.09,0,0,54.37,60.1,0
1,60.34,61.96,2,4,61.31,0,0,0,71.09,61.64
0,0,62.26,1,2,85.74,0,0,0,0,67.57
0,0,67.31,1,1,62.89,0,0,0,0,77.02
1,47.43,78.25,1,1,75,0,63.24,0,0,0
1,51.13,67.02,3,3,81.64,52.63,0,0,52.9,0
1,49.98,60.77,1,4,76.96,0,0,54.9,62.78,0
0,0,55.49,1,1,58.58,0,0,0,0,65.74
1,64.95,70.22,1,4,50.19,64.26,67.63,0,0,0
0,0,70.43,3,2,60.43,0,0,0,83.14,0
1,80.56,85.31,2,3,84.99,90.72,79.46,0,0,0
0,0,70.92,2,4,70.28,0,0,0,0,82.35
1,64.87,69.01,1,2,72.13,0,0,59.6,0,72.28
1,74.96,59.49,2,2,68.58,0,0,71,0,69.8
1,60.46,66.94,1,2,63.75,0,0,68.42,0,58.59
0,0,65.62,3,4,67.01,0,0,0,76.37,0
1,60.77,66.3,2,1,71.93,0,68.45,0,0,0
0,0,60.41,3,4,64.44,0,0,73,0,0
0,0,75.38,2,4,74.33,0,0,0,0,84.61
1,55.11,68.58,3,4,78.62,63.31,0,0,58.08,0
0,0,68,3,3,60.41,0,0,0,0,75.81
1,64.67,52.86,1,3,84.22,0,0,0,56.41,59.79
0,0,74.94,1,1,67,0,0,0,0,86.23
0,0,74.87,2,1,65.52,0,0,0,86.05,0
1,74.59,61.61,3,1,84.98,0,75.47,0,0,0
0,0,79.9,2,1,63.53,0,0,88.91,0,0
0,0,56.35,1,2,68.46,0,0,0,67.01,0
0,0,69.78,3,2,44.59,0,0,0,0,83.01
0,0,67.29,1,1,76.99,0,0,0,0,77.09
0,0,56.83,2,2,78.81,0,0,0,0,65.41
0,0,71.9,3,4,54.16,0,0,0,82.17,0
0,0,87.03,1,2,83.29,0,0,0,94.74,0
0,0,70.68,3,4,65.29,0,0,0,81.56,0
0,0,65.37,3,1,78.79,0,0,0,74.13,0
1,54.78,74.47,2,2,75.02,0,0,66.48,0,69.29
