EnrolledElectiveBefore,GradeAvgPrevElec,Grade,Major,Class,GradePerm,Course1,Course2,Course3,Course4,Course5,Course6,Course7
1,58.71,78.79,3,3,72.39,0,0,0,0,0,76.03,72.41
0,0,76.35,2,4,75.84,0,0,0,0,86.15,0,0
0,0,75.43,2,1,63.71,0,0,0,0,0,0,86.33
1,58.27,77.16,2,4,73.35,0,59.49,60.69,0,0,0,0
1,66.86,40.05,1,2,64.16,0,0,0,0,51,0,53.51
0,0,78.81,3,2,56.89,0,0,0,0,0,0,88.16
1,48.26,88.08,2,4,80.09,0,0,0,0,74.09,75.02,0
0,0,74.37,1,3,66.66,0,0,0,0,0,85.26,0
1,44.18,71.93,2,1,78.3,0,61.09,0,0,0,0,0
0,0,76.96,3,1,56.91,0,0,0,0,0,0,84.96
0,0,73.38,1,2,99.29,0,0,0,0,0,0,84.79
0,0,76.52,2,3,54.8,0,0,0,0,85.99,0,0
0,0,70.01,2,1,70.18,0,0,0,0,0,0,78.29
0,0,62.33,1,1,78.55,0,0,0,0,0,0,72.21
1,52.97,59.96,3,3,58.96,47.86,0,0,0,0,65.72,0
1,26.98,60.02,3,3,85.88,0,0,0,0,0,37.28,37.2
0,0,56.27,3,4,60.67,0,0,0,0,69.97,0,0
0,0,59.32,1,2,77.57,0,0,0,0,69.75,0,0
0,0,87.61,1,1,53.95,0,0,0,0,0,98.97,0
1,45.32,77.54,2,4,68.81,0,53.92,0,0,68.52,0,0
1,53.41,63.75,1,2,62.96,0,0,0,0,0,66.63,53.93
0,0,66.1,2,2,88.02,0,0,0,0,77.2,0,0
1,52.46,71.13,1,3,61.85,0,0,59.26,68.46,0,0,0
0,0,63.44,3,4,78.07,0,0,0,0,0,67.79,0
0,0,70.68,3,1,80.99,0,0,0,0,82.17,0,0
1,48.1,77.78,1,3,75.68,0,0,0,0,0,53.26,58.39
0,0,69.64,1,4,74.99,0,0,0,0,0,80.29,0
1,63.77,73.36,3,3,57.98,65.41,0,0,0,0,0,73.36
1,29.75,78.86,3,2,74.83,57.62,0,0,0,62.6,0,0
1,51.91,67.28,1,1,75.73,0,51.62,0,0,0,0,0
1,55.86,72.85,3,4,61.6,0,0,0,0,0,69.64,62.68
1,49.35,66.91,1,4,64.71,0,0,0,0,65.49,0,67.82
1,86.08,69.71,1,3,62.59,0,0,0,0,0,87.25,77.74
0,0,66.75,1,4,70.43,0,0,0,0,0,0,75.26
1,79.79,64.71,1,2,61.04,0,0,0,0,78.38,0,72
1,46.76,71.74,1,1,73.56,0,56.82,0,0,0,0,0
0,0,75.67,1,3,85.43,0,0,0,0,0,0,85.25
0,0,71.46,2,1,67.21,0,0,0,0,0,84.58,0
1,71.57,74.99,1,2,74.61,73.44,0,0,75.23,0,0,0
0,0,62.62,1,4,52.77,0,0,0,0,0,0,72.13
0,0,57.96,2,4,56.83,0,0,0,0,0,0,68.17
1,53.64,74.17,3,2,72.78,0,0,0,0,0,57.67,71.22
1,72.94,76.88,1,3,76.88,84.52,77.29,0,0,0,0,0
0,0,70.5,1,2,72.16,0,0,0,0,83.79,0,0
1,82.7,83.48,2,2,55.94,0,0,0,0,91.1,86.74,0
0,0,79.08,3,2,60.34,0,0,0,0,89.43,0,0
0,0,96.81,1,1,62.89,0,0,0,0,100,0,0
1,63.31,67.99,1,3,78.02,0,0,0,0,73.24,0,61.8
0,0,60.01,2,3,76.89,0,0,0,0,0,0,69.95
0,0,62.6,3,2,44.65,0,0,0,0,74.81,0,0
0,0,64.35,3,2,75.88,0,0,0,0,0,0,73.68
1,79.47,74.76,3,1,72.84,83.4,0,0,0,0,0,0
1,100,48.42,3,3,53.93,66.92,0,0,0,0,0,82.8
0,0,83.19,2,1,96.81,0,0,0,0,0,91.38,0
1,50.12,67.61,2,3,61.39,0,0,0,0,58.47,0,65.99
0,0,67.53,1,3,57.78,0,0,0,0,76.02,0,0
0,0,59.21,1,1,65.27,0,0,0,0,0,0,70.51
0,0,68.86,2,1,79.11,0,0,0,0,0,0,82.05
0,0,70.13,3,4,74.97,0,0,0,0,0,0,84.25
0,0,68.78,1,2,58.5,0,0,0,0,79.07,0,0
1,76.45,73.39,1,4,63.74,78.7,0,0,79.13,0,0,0
0,0,64.1,3,4,68.41,0,0,0,0,0,0,73.67
1,54.79,61.04,1,4,70.86,0,0,0,0,48.28,0,55.08
0,0,75.48,2,3,78.78,0,0,0,0,84.14,0,0
1,35.51,70.99,2,2,60.58,47.18,0,0,0,52.51,0,0
1,36.48,71.97,1,3,61.42,0,0,0,58.51,53.95,0,0
1,42.31,80.59,2,2,69,65.65,0,67.82,0,0,0,0
1,79.52,59.77,1,2,82.57,0,0,0,0,60.51,0,60.71
1,73.43,61.45,1,3,78.76,0,0,0,0,0,58.3,75.54
0,0,82.57,2,2,51.51,0,0,0,0,0,96.06,0
1,40.02,55.17,2,1,56.25,0,43.53,0,0,0,0,0
1,30.47,56.91,2,4,65.99,0,0,0,0,44.25,0,53.54
1,50.1,78.18,1,1,72.47,0,56.22,0,0,0,0,0
1,62.64,72.38,2,2,79.27,75.16,0,0,0,69.99,0,0
0,0,71.05,3,3,70.4,0,0,0,0,0,0,81.24
1,75.72,69.08,1,3,64.86,0,0,0,0,81.4,80.57,0
1,64.26,70.31,1,3,73.11,0,70.27,72,0,0,0,0
0,0,69.08,3,2,75.95,0,0,0,0,0,78.37,0
0,0,83.55,3,1,86.86,0,0,0,0,92.44,0,0
1,46.3,66.02,1,2,83.43,0,0,0,0,0,50.32,47.87
0,0,68.39,3,4,76.8,0,0,0,0,78.85,0,0
0,0,87.94,2,4,72.85,0,0,0,0,99.08,0,0
0,0,70.28,2,4,88.01,0,0,0,0,0,0,78.8
0,0,92.32,1,4,54.43,0,0,0,0,0,0,100
1,74.05,68.95,1,1,59.06,80.19,0,0,0,0,0,0
1,81.18,83.67,2,2,80.98,0,92.42,0,0,0,0,77.68
0,0,53.45,1,2,62.11,0,0,0,0,0,62.73,0
0,0,71.54,2,3,66.37,0,0,0,0,84.27,0,0
1,26.41,54.16,3,1,79.29,0,46.26,0,0,0,0,0
0,0,78.44,3,2,63.62,0,0,0,0,0,0,88.18
1,78.37,57.87,3,1,66.44,0,70.29,0,0,0,0,0
1,60.97,72.84,1,2,75.57,0,63.94,0,0,0,57.1,0
1,40.8,67.18,3,1,66.91,57.89,0,0,0,0,0,0
1,51.22,58.42,2,2,74.01,0,0,0,0,56.37,54.06,0
0,0,53.81,2,1,59.64,0,0,0,0,65.13,0,0
0,0,64.89,2,3,55.83,0,0,0,0,72.59,0,0
0,0,87.41,2,4,68.62,0,0,0,0,0,94.58,0
1,58.35,67.07,2,1,65.31,0,63.5,0,0,0,0,0
0,0,79.17,3,2,52,0,0,0,0,0,89.38,0
1,41.87,69.43,2,4,70.25,0,0,0,0,56.86,54.11,0
1,56.37,78.77,3,1,54.58,68.24,0,0,0,0,0,0
1,82.77,51.73,2,2,56.91,0,0,0,0,76.29,0,69.06
0,0,65.97,1,3,94.64,0,0,0,0,0,75.41,0
1,53.34,79.49,3,3,68.4,67.34,0,0,0,0,67.8,0
0,0,68.37,1,2,83.55,0,0,0,0,0,78.28,0
0,0,69.14,3,1,70.39,0,0,0,0,79.03,0,0
1,77.72,65.7,3,4,65.07,72.19,0,0,0,0,0,67.44
0,0,81.49,1,4,66.79,0,0,0,0,0,0,91.35
1,62.46,72.98,2,2,64.89,0,59.25,0,69.53,0,0,0
1,61.44,70.44,2,1,62.53,0,71.24,0,0,0,0,0
0,0,76.43,2,4,56.93,0,0,0,0,87.8,0,0
0,0,75.88,2,1,54.36,0,0,0,0,0,83.24,0
1,49.83,72.13,3,4,82.58,0,0,0,0,0,60.65,59.11
0,0,85.47,2,4,64.93,0,0,0,0,91.89,0,0
1,24.54,69.4,3,3,69.92,44.66,0,0,0,0,47.12,0
0,0,72.78,3,2,89.67,0,0,0,0,84.96,0,0
1,39.78,63.57,3,1,61.39,0,51.99,0,0,0,0,0
0,0,71.5,1,4,68.12,0,0,0,0,0,79.68,0
1,90.17,85.88,1,1,83.07,0,91.12,0,0,0,0,0
0,0,63.57,2,1,67.77,0,0,0,0,75.47,0,0
1,62.93,58.66,3,2,76.43,0,0,0,0,62.2,0,67.92
0,0,79.97,2,4,85.61,0,0,0,0,89.92,0,0
0,0,68.51,1,2,70.68,0,0,0,0,0,0,78.8
0,0,70.96,1,1,82.02,0,0,0,0,77.27,0,0
1,65.32,69.55,1,1,52.86,0,72.84,0,0,0,0,0
0,0,70.79,3,1,85.31,0,0,0,0,0,0,83.96
1,60.13,78.51,1,3,80.66,0,67.06,0,0,0,0,77.87
0,0,61.61,1,3,61.51,0,0,0,0,70.57,0,0
1,66.81,59.88,2,1,86.61,0,73.2,0,0,0,0,0
0,0,70.85,2,1,88.33,0,0,0,0,0,86.48,0
0,0,53.94,2,4,68.73,0,0,0,0,63.77,0,0
0,0,56.27,2,3,72.73,0,0,0,0,65.15,0,0
0,0,88.67,1,1,59.32,0,0,0,0,100,0,0
0,0,77.57,1,2,59.49,0,0,0,0,0,87.75,0
1,47.92,69.9,3,2,70.08,0,0,0,0,0,49.63,61.8
0,0,82.38,1,3,71.83,0,0,0,0,92.5,0,0
0,0,59.59,2,1,58.98,0,0,0,0,67.12,0,0
1,77,66.84,3,2,61.64,0,0,0,0,0,65.9,71.14
0,0,76.23,3,1,87.11,0,0,0,0,0,0,87.9
0,0,78.91,1,4,70.69,0,0,0,0,0,85.91,0
0,0,75.13,1,4,95.4,0,0,0,0,0,0,83.78
1,71.77,44.59,3,3,87.94,63.79,0,0,0,0,0,50.24
0,0,60.32,3,1,52.25,0,0,0,0,0,71.31,0
0,0,74.77,3,4,69.16,0,0,0,0,84.67,0,0
1,56.75,66.44,1,1,58.66,0,53.61,0,0,0,0,0
0,0,95.4,2,1,63.57,0,0,0,0,100,0,0
1,54.11,79.27,3,2,58.12,70.67,0,0,0,57.38,0,0
0,0,75.58,1,2,84.83,0,0,0,0,0,0,84.71
0,0,58.83,3,3,77.75,0,0,0,0,0,72.38,0
1,66.59,69.65,1,1,66.75,0,71.35,0,0,0,0,0
1,56.71,72.41,1,4,74.37,0,0,69.08,64.42,0,0,0
0,0,81.28,1,4,53.7,0,0,0,0,0,0,92.31
0,0,78.81,1,1,73.38,0,0,0,0,0,89.61,0
0,0,80.33,3,3,61.9,0,0,0,0,0,0,93.76
1,52.95,60.76,2,4,52.03,0,0,0,0,49.04,0,62
1,56.75,84.12,3,2,75.89,0,0,0,0,0,64.39,78.69
0,0,56.2,3,2,72.99,0,0,0,0,0,0,66.48
0,0,64.64,2,2,70.66,0,0,0,0,0,0,72.24
0,0,74.31,1,1,76.23,0,0,0,0,0,87.53,0
0,0,68.5,2,2,83.03,0,0,0,0,77.96,0,0
0,0,59.94,3,3,45.62,0,0,0,0,0,70.45,0
1,63.57,61.78,1,2,74.09,0,0,0,0,0,53.41,65.89
0,0,54.52,3,1,63.16,0,0,0,0,0,0,63.72
1,51.15,75.32,1,1,81.04,61.19,0,0,0,0,0,0
0,0,82.61,3,1,48.21,0,0,0,0,87.45,0,0
0,0,69,1,1,92.32,0,0,0,0,0,0,77.46
0,0,66,3,2,75.43,0,0,0,0,76.63,0,0
1,54.31,55.28,1,4,74.01,0,0,0,0,49.24,0,60.97
1,33.86,79.13,2,2,71.25,54.81,61.8,0,0,0,0,0
1,40.45,92.11,3,3,55.68,66.7,0,0,0,0,65.83,0
0,0,52.03,2,1,69.36,0,0,0,0,0,62.14,0
0,0,59.37,1,2,75.13,0,0,0,0,0,69.87,0
1,58.02,63.2,1,2,75.17,0,0,0,0,62.85,0,53.04
1,66.07,64.36,2,1,70.01,56.64,0,0,0,0,0,0
1,63.36,72.27,1,2,60.16,0,0,0,67.59,0,0,70.01
1,64.94,86.14,1,2,76.5,72.85,0,0,0,0,71.28,0
0,0,80.09,1,1,51.73,0,0,0,0,0,0,92.33
0,0,75.28,2,3,66.24,0,0,0,0,0,85.3,0
0,0,62.76,3,4,67.53,0,0,0,0,0,75.05,0
1,54.27,58.8,3,3,89.47,48.49,0,0,0,0,0,57.37
1,56.64,62.03,3,3,67.52,58.73,0,0,0,0,0,66.51
0,0,85.48,1,3,59.88,0,0,0,0,0,0,93.96
1,54.37,69.38,1,4,56.35,0,0,0,0,0,67.12,57.46
0,0,65.53,2,3,62.9,0,0,0,0,0,0,76.23
0,0,68.16,2,2,63.96,0,0,0,0,0,0,79.61
1,85.06,78.25,2,4,60.07,91.14,83.43,0,0,0,0,0
0,0,56.87,2,2,67.28,0,0,0,0,65.27,0,0
1,59.98,84.15,1,2,71.75,0,0,73.78,0,73.21,0,0
1,49.69,71.56,2,3,61.2,0,0,61.9,0,0,0,61.15
1,58.24,67.84,2,2,64.78,0,0,0,0,55.32,0,56.33
1,66.99,74.43,2,3,72.95,0,0,0,0,0,71.29,77.01
0,0,72.18,3,2,63.3,0,0,0,0,86.23,0,0
0,0,66.56,1,2,66.65,0,0,0,0,78.6,0,0
0,0,67.47,2,1,81.32,0,0,0,0,77.2,0,0
1,46.23,61.31,1,2,76.04,0,0,0,0,56.84,55.32,0
1,63.79,76.56,2,3,71.5,0,0,0,72.48,0,64.48,0
1,72.3,64.68,3,1,59.22,0,60.82,0,0,0,0,0
0,0,60.44,3,1,59.73,0,0,0,0,70.62,0,0
1,58.64,71.66,1,4,77.13,0,72.27,0,0,0,0,69.61
1,80.51,83.29,2,4,80.81,0,0,0,85.44,82.04,0,0
1,75.52,69.52,3,2,52.88,0,0,0,0,0,66.2,77
1,45.06,63.92,2,3,69.19,0,0,0,0,50.78,0,55.41
0,0,74.04,2,1,70.16,0,0,0,0,0,85.95,0
0,0,89.37,3,2,72.86,0,0,0,0,0,98.95,0
1,75.43,55.48,3,4,68.97,0,0,0,0,0,66.85,73.47
1,58.92,73.82,3,2,62.34,73.47,0,0,0,0,63.58,0
0,0,72.05,1,1,67.65,0,0,0,0,0,83.17,0
0,0,81.62,1,4,61.91,0,0,0,0,91.81,0,0
0,0,79.91,1,3,83.14,0,0,0,0,0,0,93.2
1,25.19,68.13,1,2,60.67,0,0,0,0,0,48.73,50.52
1,64.76,53.15,3,2,76.64,0,0,0,0,66.22,0,63.57
0,0,78.07,3,2,81.28,0,0,0,0,87,0,0
1,63.38,61.65,3,3,84.14,0,0,0,0,0,54.39,53.54
1,66.75,60.53,2,3,53.04,0,0,0,0,0,64.08,64.29
1,58.99,81.48,3,2,84.87,64.19,0,74.9,0,0,0,0
1,40.22,60.89,3,2,74.43,0,0,0,0,0,48.13,43.17
1,54.44,84.03,3,3,65.2,70.98,0,0,0,0,0,60.92
0,0,73.36,3,2,79.36,0,0,0,0,0,0,84.25
0,0,73.19,3,2,72.75,0,0,0,0,83.74,0,0
0,0,73.07,1,3,71.66,0,0,0,0,82.43,0,0
1,66.79,53.62,1,1,83.99,58.36,0,0,0,0,0,0
0,0,52.24,3,1,68.88,0,0,0,0,0,61.66,0
1,53.28,72.16,2,2,56.3,0,0,64.98,60.29,0,0,0
0,0,75.68,2,3,76.56,0,0,0,0,0,82.59,0
1,59.65,70.83,2,2,64.52,59.07,0,0,60.38,0,0,0
1,76.19,61.78,2,4,78.96,0,0,0,0,0,72.55,62.58
0,0,70.19,3,2,91.98,0,0,0,0,0,79.04,0
0,0,69.18,2,2,75.07,0,0,0,0,0,80.03,0
0,0,60.43,1,1,76.27,0,0,0,0,0,70.94,0
1,31.73,80.14,2,4,67.31,52.37,0,0,60.42,0,0,0
0,0,52.7,2,4,50.57,0,0,0,0,0,0,64.9
0,0,75.89,2,1,66.42,0,0,0,0,83.98,0,0
1,63.29,73.84,2,2,70.91,0,0,0,62.17,0,0,75.01
1,65.9,80.1,1,3,74.66,70.83,0,70.93,0,0,0,0
1,45.92,59.95,2,1,65.2,0,62.44,0,0,0,0,0
1,75.26,71.01,1,3,77.83,0,0,0,0,0,78.26,81.24
0,0,91.71,2,3,57,0,0,0,0,0,0,100
1,65.94,76.62,1,4,87.35,0,69.82,0,0,0,78.91,0
0,0,71.01,3,4,70.86,0,0,0,0,80.5,0,0
0,0,75.39,1,3,71.42,0,0,0,0,0,82.09,0
0,0,70.86,1,2,69.02,0,0,0,0,84.45,0,0
0,0,91.91,2,4,63.78,0,0,0,0,0,0,100
1,50.15,79.84,1,1,87.41,68.45,0,0,0,0,0,0
1,17.48,69.14,1,3,71.72,0,0,0,0,49.03,0,40.6
1,91.75,72.52,1,2,69.38,0,82.92,0,0,0,87.83,0
0,0,66.09,2,2,72.38,0,0,0,0,0,0,73.44
1,59.46,82.1,3,2,73.26,75.04,0,0,63.5,0,0,0
0,0,55.94,3,3,80.21,0,0,0,0,0,0,65.6
0,0,53.95,2,3,66.22,0,0,0,0,0,63.95,0
1,74.24,84.59,3,4,48.79,0,0,0,0,0,87.41,73.86
1,37.46,91.53,2,2,84.97,0,0,0,74.43,0,0,64.76
1,33.33,74.68,2,4,73.36,0,0,0,0,44.71,0,44.82
1,52.01,71.13,1,1,62.76,55.99,0,0,0,0,0,0
1,76.36,76.57,2,2,66.56,69.01,0,0,70.02,0,0,0
1,54.81,63.53,3,4,70.38,58.39,0,0,0,0,0,64.98
0,0,71.71,2,3,87.06,0,0,0,0,0,78.55,0
0,0,70.39,1,4,64.21,0,0,0,0,78.76,0,0
1,76.23,76.27,1,4,69.8,0,72.77,0,0,0,0,82.47
1,38.33,54.42,3,4,84.23,46.65,0,0,0,0,0,39.03
1,41.84,64.93,3,1,74.2,0,58.73,0,0,0,0,0
1,48.17,78.45,3,1,75.39,71.2,0,0,0,0,0,0
1,76.42,63.24,1,1,63.92,77,0,0,0,0,0,0
1,63.52,60.07,2,2,70.01,0,0,0,0,59.48,0,61.61
1,91.98,90.42,2,1,80.1,0,93.38,0,0,0,0,0
1,74.05,70.38,1,1,59.59,81.39,0,0,0,0,0,0
1,59.47,64.21,2,3,59.36,0,0,0,0,0,55.44,71.27
1,78.98,53.08,2,2,74.56,0,0,0,0,66.28,67.82,0
0,0,77.29,2,1,73.33,0,0,0,0,0,0,86.5
0,0,76.99,1,4,69.63,0,0,0,0,87.45,0,0
0,0,67.01,2,4,80.62,0,0,0,0,0,0,74.97
0,0,58.98,3,1,80.54,0,0,0,0,0,0,69.03
1,55.64,69.75,1,3,88.67,0,0,0,0,54.22,0,65.43
1,79.92,61.64,1,3,72.1,0,0,0,0,70.89,0,62.07
1,58.48,60.58,2,4,71.84,0,0,0,0,61.12,57.1,0
0,0,68.97,3,1,65.1,0,0,0,0,0,82.12,0
1,53.03,59.49,1,1,65.74,49.17,0,0,0,0,0,0
1,75.33,72.47,2,1,69.08,68.59,0,0,0,0,0,0
1,51.71,76.08,1,1,70.83,0,55.65,0,0,0,0,0
1,54.2,61.6,1,4,76.09,0,0,0,0,0,65.72,60.04
1,52.35,56.32,1,2,62.56,0,0,0,0,47.61,56.59,0
1,62.76,85.61,3,4,77.29,0,0,0,0,0,77.46,79.44
1,54.22,60.6,3,4,62.7,0,0,0,0,0,66.08,53.04
0,0,63.4,3,1,66.94,0,0,0,0,0,72.07,0
0,0,72.13,3,2,54.42,0,0,0,0,0,83.21,0
0,0,75.99,3,4,71.99,0,0,0,0,89.32,0,0
0,0,67.44,3,4,78.84,0,0,0,0,70.99,0,0
1,72.19,74.61,2,2,62.76,0,73.17,0,0,0,0,67.05
1,68.81,65.99,3,1,70.79,71.62,0,0,0,0,0,0
0,0,60.29,3,1,82.82,0,0,0,0,0,0,68.07
1,47.76,84.26,1,3,64.46,0,0,65.22,0,0,69.52,0
0,0,94.88,1,2,71.98,0,0,0,0,100,0,0
0,0,86.96,3,4,72.05,0,0,0,0,0,97.62,0
1,97.46,71.42,3,2,61.45,0,0,88.59,0,0,0,86.34
0,0,88.33,1,1,83.66,0,0,0,0,0,0,96.67
1,68.46,73.56,1,1,52.03,66.14,0,0,0,0,0,0
0,0,65.23,1,4,64.77,0,0,0,0,0,75.42,0
1,58.43,74.66,1,4,52.24,0,75.43,0,0,75.81,0,0
0,0,69.06,1,1,68.13,0,0,0,0,0,75.6,0
0,0,60.17,1,1,65.01,0,0,0,0,68.19,0,0
0,0,61.02,1,3,87.03,0,0,0,0,0,70.68,0
0,0,78.02,2,1,79.08,0,0,0,0,88.74,0,0
1,58.01,51.53,3,3,65.69,0,0,0,0,0,46.04,45.85
1,48.51,76.04,3,1,79.17,71.88,0,0,0,0,0,0
1,68.34,53.7,1,4,65.23,0,0,0,0,70.82,0,64.2
0,0,48.79,3,1,70.73,0,0,0,0,0,0,53.77
1,70.8,51.61,1,2,51.62,0,0,0,0,55.62,0,59.87
0,0,89.67,2,1,83.44,0,0,0,0,0,0,100
1,64.55,68.04,2,4,66.02,0,0,0,0,0,69.29,73.76
0,0,70.87,3,2,57.81,0,0,0,0,0,85.83,0
0,0,84.19,2,4,70.19,0,0,0,0,0,92.71,0
0,0,79.34,1,2,62.62,0,0,0,0,0,0,89.98
0,0,56.08,2,1,78.87,0,0,0,0,0,0,64.67
1,59.78,78.69,1,4,66.45,0,0,0,0,0,73.64,67.35
1,72.32,71.84,3,4,67.18,0,0,0,0,0,72.55,79.43
1,70.06,66.58,1,3,86.14,0,0,0,0,65.98,73.87,0
0,0,70.24,3,2,67.78,0,0,0,0,79.61,0,0
1,60.6,82.8,3,1,63.84,66,0,0,0,0,0,0
0,0,61.14,1,4,76.35,0,0,0,0,69.8,0,0
0,0,74.01,3,3,60.02,0,0,0,0,0,0,82.03
1,63.99,69.9,3,4,53.36,64.82,0,0,0,0,75.72,0
1,70.85,52.03,2,4,68.58,0,0,0,0,54.86,68.59,0
1,60.37,61.98,2,2,70.5,0,0,0,0,0,65.08,53.43
0,0,71.93,1,2,62.79,0,0,0,0,83.69,0,0
1,43.46,82.97,1,2,74.77,0,0,0,61.13,69.09,0,0
1,58.47,80.01,3,2,53.52,0,0,0,61.9,0,0,64.95
0,0,75.97,2,3,69.5,0,0,0,0,0,83.47,0
1,87.74,61.85,3,3,67.96,82.17,0,0,0,0,80.35,0
0,0,88.01,1,1,70.13,0,0,0,0,0,0,98.71
1,52.51,72.15,1,2,74.94,55.32,0,0,0,0,59.95,0
1,60.32,59.94,2,2,69.53,0,0,0,0,60.06,0,67.8
0,0,68.17,3,2,74.07,0,0,0,0,0,79.95,0
0,0,78.96,2,2,76.62,0,0,0,0,90.82,0,0
1,54.52,70.08,1,2,68.12,0,0,57.54,0,70.11,0,0
1,33.13,78.87,1,2,68.57,49.52,0,62.53,0,0,0,0
0,0,81.04,2,3,66.3,0,0,0,0,0,91.06,0
1,55.24,74.01,2,2,67.89,0,0,64.25,0,0,0,66.37
1,35.51,61.42,3,4,62.26,0,0,0,0,0,58.13,47.3
1,58.99,71.35,2,4,64.1,0,0,0,65.3,0,0,73.41
1,82.34,70.45,3,3,68.78,85.67,0,0,0,0,80.66,0
1,67.82,88.59,1,4,67.28,0,87.71,0,0,0,82.44,0
1,69.18,53.74,2,1,67.45,54.76,0,0,0,0,0,0
0,0,68.65,2,3,66.36,0,0,0,0,0,74.8,0
0,0,64.16,3,1,66,0,0,0,0,76.13,0,0
1,62.23,73.35,3,4,83.48,74.29,0,0,0,0,0,71.86
0,0,45.62,3,1,55.53,0,0,0,0,0,0,53.18
1,66.34,81.15,1,4,70.31,0,0,0,76.84,0,0,78.02
0,0,70.14,2,3,78.98,0,0,0,0,0,0,79.35
0,0,51.55,2,3,69.9,0,0,0,0,0,64.47,0
1,48.63,66.39,3,2,89.14,0,0,0,0,65.89,0,48.47
1,59.25,76.09,1,4,79.88,0,0,0,0,0,68.68,66.6
1,46.54,54.09,2,2,77.3,0,0,0,0,0,52.32,44.04
1,79.69,70.03,1,1,65.19,0,72.91,0,0,0,0,0
1,47.12,59.43,3,4,70.79,58.04,0,0,0,0,0,55.48
0,0,64.44,3,4,67.07,0,0,0,0,0,71.89,0
