EnrolledElectiveBefore,GradeAvgPrevElec,Grade,Major,Class,GradePerm,Course1,Course2,Course3
1,70.35,56.4,1,1,55.19,67.26,0,0
0,0,69.59,1,4,75.31,78.32,0,0
0,0,62.42,2,3,67.78,69.05,0,0
1,52.78,69.5,1,1,79.36,54.2,0,0
1,94.56,61.03,2,2,75.31,0,81.86,74.5
0,0,83.12,1,2,81.24,0,92.65,0
1,57.96,61.41,3,3,72.44,60.72,52.15,0
0,0,61.01,2,3,56.4,67.83,0,0
0,0,70.75,1,4,78.67,0,0,78.68
1,68.74,59.23,1,3,77.2,62.54,0,69.4
0,0,65.75,1,2,73.04,73.55,0,0
0,0,61.7,3,1,57.15,0,0,71.45
0,0,84.11,2,1,79.39,0,95.06,0
1,84.87,77.86,2,4,88.22,89.74,0,85.18
1,58.23,69.43,2,1,81.15,61.84,0,0
0,0,66.09,1,4,68.99,74.31,0,0
1,70,79.41,2,3,72.51,72.48,73.66,0
0,0,74.05,2,1,63.32,0,85.58,0
0,0,74.98,1,4,74.77,0,0,83.75
0,0,69.74,1,4,64.65,0,0,80.43
0,0,53.12,1,3,68.67,0,0,61.03
0,0,68.88,1,2,85.19,77.81,0,0
1,57.99,64.68,3,1,75.21,0,52.08,0
0,0,76.45,3,3,74.21,0,82.75,0
1,43.1,80.12,2,1,71.93,0,56.94,0
0,0,63.42,3,2,65.96,0,0,74.96
1,54.23,74.68,1,1,64.61,68.36,0,0
1,61.42,87.36,3,4,70.47,0,71.03,65.22
1,59.37,63.32,1,1,68.55,59.36,0,0
1,55.7,86.82,3,4,59.23,80.5,63.38,0
1,59.08,61.47,1,2,52.06,57.65,59.76,0
0,0,70.23,2,4,68.98,0,0,79.25
1,49.21,69.89,2,3,77.24,64.4,50.01,0
1,47.81,70.11,3,4,69.89,0,66.11,61.31
1,64.12,61.62,1,4,69.38,56.27,0,72.21
1,46.64,64.09,2,3,83.26,64.06,0,45.52
0,0,63.32,1,4,72.4,0,0,69.64
1,55.32,73.27,3,4,66.34,57.37,63.18,0
1,57.63,73.3,1,3,69.74,75.26,56.31,0
0,0,92.26,1,4,75.29,100,0,0
0,0,83.71,3,4,69.3,0,95.73,0
1,74.15,64.9,2,1,58.54,63.62,0,0
0,0,73.25,3,1,62,86.49,0,0
0,0,79.97,1,4,57.73,0,90.66,0
0,0,70.31,3,3,79.92,79.84,0,0
0,0,69.3,3,3,72.39,0,0,81
1,20.11,70.52,1,1,86.32,42.07,0,0
1,69.09,78.67,3,3,63.53,0,81.91,74.05
0,0,61.52,2,3,75.56,72.28,0,0
0,0,66.74,2,1,67.23,75.92,0,0
1,49.74,74.7,3,2,81.54,0,54.09,57.83
0,0,73.11,1,1,59.03,0,85.78,0
1,76.03,72.4,3,3,71.79,0,83.64,75.05
1,53.2,66.3,3,4,73.48,50.25,58.06,0
1,49.68,79.73,2,3,62.5,59.39,68.68,0
1,41.79,91.34,2,4,66.3,57.08,72.05,0
0,0,74.06,1,4,70.45,83.96,0,0
0,0,68.07,1,4,64.47,0,78.55,0
0,0,77.56,1,2,93.47,0,0,88.73
1,62.35,64.61,3,2,68.67,0,66.07,69.05
0,0,62.5,3,1,62.42,0,73.13,0
1,65.24,70.33,3,2,69.69,0,74.35,58.96
1,48.54,44.17,3,4,65.99,0,48.81,38.65
1,38.43,58.46,1,3,68.85,50.51,0,47.03
0,0,66.52,1,3,72.46,75.57,0,0
1,49.66,56.47,1,4,56.52,55.3,49.07,0
0,0,59.67,3,3,71.46,69.67,0,0
0,0,65.63,3,3,57.27,0,75.9,0
1,32.35,53.57,1,2,62.8,46.78,0,37.36
0,0,65.94,2,4,69.51,0,0,73.78
1,52.81,64.65,1,3,68.7,52.68,0,54.77
1,69.31,70.25,3,3,80.16,0,71.34,66.39
0,0,81.54,3,3,81.17,0,0,92.36
0,0,71.73,1,4,83.71,0,0,79.54
1,73.98,70.21,2,4,94.97,65.21,72.19,0
0,0,70.99,2,1,61.4,0,79.62,0
1,59.76,72.27,3,1,87.36,0,64.3,0
0,0,59.83,3,3,63.98,0,0,68.57
1,57.14,68.85,3,2,72.01,69.77,59.33,0
0,0,73.09,1,2,66.09,85.71,0,0
1,55.98,56.29,3,4,79.69,54.31,47.91,0
0,0,78.66,3,4,73.78,0,0,88.06
1,64.21,80.81,3,1,74.98,0,70.17,0
0,0,63.69,2,1,83.98,0,0,74.33
0,0,67.59,2,4,82.59,0,78.53,0
0,0,61.22,3,2,62.46,69.69,0,0
1,60.74,76.99,2,1,55.7,68.73,0,0
0,0,59.39,2,1,65.94,0,68.12,0
1,69.65,67.78,2,3,77.56,74.5,72.57,0
0,0,61.41,2,2,90.14,70.12,0,0
1,56.9,70.51,1,3,77.67,65.92,0,56.94
0,0,52.06,2,1,74.48,0,0,60.02
0,0,83.26,2,1,73.09,0,92.54,0
0,0,60.35,2,1,87.7,0,70.58,0
0,0,70.6,2,1,61.21,0,82.18,0
0,0,67.87,1,4,65.94,0,78.09,0
1,60.58,62.38,1,2,76.77,0,55.53,58.17
0,0,61.12,3,2,76.78,0,0,70.64
0,0,79.36,2,2,59.93,88.86,0,0
1,37.92,64.74,2,2,69.41,57.96,0,56.37
0,0,72.71,3,3,62.11,84.17,0,0
0,0,61.99,1,3,70.33,0,0,71.04
0,0,63.53,3,3,84.71,0,0,77.35
1,56.66,74.72,1,1,87.12,0,68.07,0
0,0,79.3,3,4,72.35,92.63,0,0
0,0,68.25,3,2,82.65,0,81.21,0
1,55.62,55.78,2,4,79.24,0,48.92,47.56
0,0,89.98,3,2,71.9,0,0,97.47
1,72.87,61.43,1,2,62.01,73.92,0,65.15
0,0,54.58,1,3,71.98,67.25,0,0
0,0,95.94,3,1,72.27,100,0,0
1,72.79,65.96,1,1,76.8,62.84,0,0
1,51.02,55.38,3,4,71.38,51.87,48.07,0
0,0,63.17,2,1,83.25,71.31,0,0
0,0,73.68,2,3,60.62,85.65,0,0
0,0,71.9,2,2,57.21,0,0,82.96
1,33.47,61.48,2,4,85.93,56.05,51.87,0
1,65.33,88.23,3,3,66.82,85.8,79.46,0
0,0,64.78,1,2,51.08,0,0,75.34
0,0,58.15,3,1,66.15,0,67.19,0
0,0,79.61,1,4,77.97,0,90.97,0
0,0,83.29,3,4,79.6,92.32,0,0
0,0,61.83,1,2,59.67,0,0,68.7
1,72,55.99,1,1,65.9,64.85,0,0
0,0,80.3,3,4,72.97,0,89.34,0
1,56.5,49.53,2,1,74.81,0,61.58,0
0,0,57.73,3,1,53.98,0,0,66.18
0,0,79.67,2,2,62.95,0,88.16,0
0,0,69.45,3,3,67.59,0,0,83.81
1,62.13,67.36,1,1,82.76,0,55.54,0
1,82.8,73.53,2,4,53.12,87.51,0,83.11
1,85.79,68.47,1,4,61.13,0,76.66,85.88
0,0,57.01,1,4,100,0,0,66.87
0,0,82.76,1,4,83.85,0,0,90.46
1,28.58,83.25,3,2,63.22,60.53,49.91,0
1,61.86,72.05,1,1,97.59,0,76.35,0
1,58.05,70.45,3,2,61.6,57.95,73.37,0
1,61.41,93.4,2,3,82.67,0,86.28,86.65
0,0,67.24,1,1,58.29,76.87,0,0
0,0,67.4,2,1,85.63,77.36,0,0
0,0,73.64,2,1,69.33,0,83.2,0
1,64.05,84.71,3,3,78.13,0,66.38,71.65
1,53,85.93,2,2,70.88,60.69,67.12,0
0,0,67.41,3,1,79.85,0,0,79
1,73.03,73.08,3,1,55.99,0,80.8,0
0,0,56.22,2,4,80.22,63.55,0,0
0,0,66.88,2,3,52.09,0,74.28,0
1,64.72,61.6,2,4,72.26,55.12,0,71.62
0,0,59.93,3,4,77.23,0,0,72.11
1,60.08,86.82,3,2,54.33,0,74.63,77.09
1,72.01,62.08,2,4,60.35,60.25,76.33,0
1,61.17,64.68,3,3,70.12,72.52,56.72,0
1,54.07,73.66,2,3,72.4,57.18,54.07,0
0,0,82.98,3,1,60.93,0,0,89.07
0,0,74.81,3,2,71.84,0,86.5,0
0,0,97.59,1,1,67.41,0,0,100
1,73.14,69.25,1,4,65.36,0,71.11,78.82
1,58.27,72.59,2,1,65.49,0,62.78,0
1,66.86,72.76,1,3,64.01,65.13,72.34,0
0,0,84.35,3,3,66.99,0,96.49,0
1,48.26,75.07,2,4,49.53,57.99,61.46,0
1,58.34,68.84,1,1,54.69,73.32,0,0
1,44.18,60.53,2,3,80.3,0,42.52,45.85
1,72.3,72.44,2,3,62.08,81.09,0,64.39
0,0,84.01,3,2,72.76,0,97.21,0
0,0,65.9,1,1,54.58,0,73.72,0
1,65.08,75.29,3,1,83.89,0,71.43,0
1,90.32,72.46,2,2,64.81,0,78.12,86.7
0,0,78.64,2,3,61.7,0,0,89.58
0,0,61.95,2,2,53.68,0,0,73.41
0,0,93.47,1,2,75.29,99.12,0,0
1,59.24,57.21,3,2,72.89,59.31,62.57,0
1,52.24,66.34,3,3,61.52,0,65.53,65.5
0,0,79.38,1,4,72.11,0,0,88.16
1,53.41,72.97,3,4,70.11,62.62,0,65.34
1,62.72,78.3,3,4,77.54,0,65.75,62.44
1,52.46,65.04,2,2,75.97,0,50.57,64.39
1,96.19,69.25,2,4,65.83,77.85,83.5,0
1,45.59,70.12,2,1,74.99,63.62,0,0
0,0,85.69,1,4,57.01,0,0,95.65
0,0,76.9,2,3,70.94,89.02,0,0
0,0,77.97,3,2,59.15,84.89,0,0
1,29.75,63.42,1,2,72.22,0,37.05,37.12
0,0,79.69,3,4,71.05,0,0,89.26
1,55.86,72.26,1,2,64.95,59.83,0,72.35
0,0,83.89,3,2,70.1,95.43,0,0
1,86.08,90.14,1,2,65.04,81.75,0,88.99
1,74.92,66.93,3,2,67.69,0,80.02,68.36
0,0,65.94,2,1,80.81,0,0,77.24
0,0,61.36,1,3,70.21,0,69.8,0
0,0,68.56,3,1,65.94,78.05,0,0
1,67.44,66.18,3,4,80.65,0,70.17,62.57
0,0,73.6,3,4,66.88,0,82.43,0
0,0,68.55,3,2,69.43,0,80.54,0
1,46.37,66.38,2,2,63.69,46.43,0,50.89
1,53.64,80.65,2,4,64.9,69.1,57.65,0
1,72.94,60.62,1,2,70.4,0,56.88,62.8
1,20.17,74.33,1,1,65.01,0,42.5,0
0,0,65.94,3,2,74.23,73.76,0,0
1,68.3,77.24,1,1,66.83,81.32,0,0
0,0,83.85,3,3,55.55,0,94.06,0
0,0,66.97,1,1,54.5,0,0,76.89
0,0,74.41,1,4,71.73,0,84.96,0
0,0,71.79,3,4,67.4,0,0,83.1
1,76.5,62.01,2,4,62.67,67.8,0,78.77
1,79.47,72.41,3,1,75.64,0,82.97,0
1,100,72.89,2,3,59.85,95.21,0,83.07
0,0,74.13,1,4,64.9,0,0,85.44
1,50.12,68.02,2,2,74.03,65.6,62,0
0,0,70.94,3,1,74.7,0,81.11,0
0,0,58.52,1,3,92.26,0,0,69.88
1,58.83,66.42,2,1,68.72,65.28,0,0
1,65.74,75.56,2,1,63.42,61.57,0,0
1,59.49,78.92,3,3,78.3,63.94,63.48,0
1,76.45,65.78,1,1,73.6,70.84,0,0
1,56.49,71.05,1,4,79.3,72.24,54.01,0
1,54.79,72.28,2,3,66.42,0,61.86,70.25
0,0,72.01,2,1,86.82,77.68,0,0
0,0,75.41,2,2,61.62,0,0,87.37
1,36.48,51.82,1,3,68.22,0,45.39,40.86
1,42.31,69.51,2,2,61.43,0,54.37,48.01
1,79.52,72.39,2,1,63.74,0,67.69,0
1,73.43,60,1,2,79.73,73.76,57.21,0
1,80.62,86.74,1,3,55.78,0,75.69,78.23
1,40.02,71.62,3,1,66.74,0,58.77,0
1,30.47,85.63,1,3,77.73,51.48,63.94,0
1,50.1,62.09,1,1,86.82,48.79,0,0
1,62.64,60.93,3,4,77.2,58.04,0,58.28
1,67.48,72.24,1,4,64.09,0,73.79,64.67
0,0,53.21,3,4,69.67,0,65.41,0
0,0,72.15,1,2,73.68,0,0,82.35
0,0,70.97,3,2,55.38,79.06,0,0
0,0,80.16,2,4,58.52,0,0,87.94
1,46.3,77.01,2,3,70.67,65.6,69.56,0
1,34.78,65.83,2,3,68.44,59.48,55.73,0
1,46.67,59.03,3,1,84.33,0,49.01,0
0,0,87.12,2,3,66.18,0,0,99.13
1,46.67,62.08,1,3,61.83,56.66,0,51.92
1,74.05,59.54,3,2,61.95,74.33,0,57.75
1,81.18,59.15,1,3,64.92,63.99,0,75.84
1,24.46,81.17,1,3,75.07,55.78,43.16,0
1,72.96,64.81,1,1,68.3,0,71.55,0
1,26.41,62.46,3,4,66.92,46.64,0,41.17
1,66.02,71.38,1,4,66.93,66.88,61.02,0
0,0,67.93,2,2,77.3,0,78.79,0
0,0,63.22,3,2,86.49,74.86,0,0
0,0,77.54,2,1,93.4,0,90.58,0
0,0,80.65,3,2,72.28,94.45,0,0
1,56.08,79.85,1,1,70.98,65.52,0,0
1,57.27,77.67,2,4,73.81,61.49,0,57.85
0,0,74.03,3,4,62.38,84.07,0,0
1,58.35,52.24,1,1,73.25,50.67,0,0
0,0,86.69,1,4,66.45,96,0,0
0,0,73.02,3,3,82.21,0,82.83,0
1,56.37,76.08,3,3,53.61,59.27,0,60.49
0,0,81.15,3,4,69.5,89.19,0,0
1,54.23,84.33,3,1,78.92,0,73,0
0,0,74.18,2,3,56.47,0,82.68,0
1,76.17,74.36,3,3,77.32,72.18,0,76.34
0,0,64.01,1,4,70.6,0,0,75.4
0,0,70.33,2,2,78.25,79.92,0,0
0,0,61.46,1,2,81.05,0,0,73.26
0,0,62.8,1,4,69.24,72.4,0,0
1,61.44,61.06,3,4,47.55,57.15,0,63.79
1,74.14,68.44,2,3,70.51,71.39,65.21,0
1,55.99,80.49,3,1,71.93,0,73.83,0
0,0,100,1,1,68.32,0,0,100
1,79.47,71.89,3,3,95.94,0,65.72,82.28
0,0,56.52,3,3,58.6,0,67.85,0
1,60.31,82.65,3,1,70.25,0,63.79,0
0,0,66.99,3,2,66.54,0,74.13,0
0,0,63.39,3,2,60,0,73.77,0
0,0,72.1,3,1,58.46,0,0,81.84
0,0,57.59,2,4,73.3,0,0,68.27
1,62.93,72.22,3,4,73.64,58.43,64.27,0
1,33.28,69.12,2,3,84.11,0,53.85,54.65
1,49.06,70.98,3,2,77.86,0,62.84,62.43
0,0,73.81,2,4,73.27,0,0,84.23
1,65.32,70.67,1,4,72.41,65.38,67.5,0
0,0,70.16,2,4,79.97,0,78.05,0
0,0,72.84,2,1,72.59,0,0,82.41
1,67.91,74.15,1,3,71.48,65.44,66.02,0
1,66.81,59.69,3,3,44.17,60.25,56.15,0
1,32.55,55.7,3,2,61.99,40.98,36.57,0
0,0,69.38,2,4,70.52,0,0,81.4
1,71.52,55.67,3,3,61.47,0,69.46,60.31
1,68.85,70.88,3,1,74.33,0,60.52,0
0,0,79.39,1,1,59.52,0,90.51,0
1,47.92,76.07,3,1,75.87,57.54,0,0
0,0,59.52,3,4,72.17,0,0,71.31
1,58.03,61.4,2,1,80.82,0,57.62,0
1,77,73.28,3,4,74.06,71.84,71.63,0
0,0,65.99,3,3,64.34,0,0,77.96
0,0,66.83,2,1,62.09,77.15,0,0
1,42.9,75.97,2,4,72.84,59.99,0,64.27
1,71.77,60.13,2,2,77.71,59.36,66.67,0
0,0,65.99,3,3,70.55,0,0,73.15
1,52.94,62,3,3,74.13,0,58.17,51.47
1,56.75,59.57,3,4,63.42,66.16,0,60.37
1,66.68,61.43,3,4,61.12,56.49,0,59.5
1,54.11,76.77,3,3,69.12,74.57,0,67.59
1,14.31,70.52,3,4,65.75,0,49.64,48.5
1,68.15,61.21,2,1,76.07,59.59,0,0
0,0,67.69,2,4,73.28,77.15,0,0
0,0,53.61,3,3,78.66,66.11,0,0
1,43.74,62.67,1,1,57.59,0,44.53,0
0,0,91.5,2,4,67.36,0,0,100
1,65.69,69.1,3,1,72.99,0,61.79,0
0,0,77.32,2,4,68.02,0,86.05,0
0,0,69.35,1,3,70.97,78.24,0,0
1,46.05,73.48,2,3,74.15,63.29,0,57.9
1,57.32,76.63,2,1,88.5,60.83,0,0
1,36.74,58.95,2,3,65.63,0,51.11,48.35
1,66.26,69.69,2,3,53.57,66.3,60.09,0
1,45.83,85.79,3,1,68.66,58.91,0,0
0,0,62.04,1,1,79.41,0,71.81,0
1,38.91,64.34,3,3,61.06,49.56,0,59.18
1,51.15,66.92,2,1,58.97,65.52,0,0
1,58.34,72.69,2,1,68.25,66.65,0,0
0,0,75.25,2,4,69.35,0,86.55,0
0,0,82.67,1,2,89.98,0,92.59,0
1,54.31,74.99,1,3,77.04,55.71,0,72.26
1,33.86,69.38,3,3,51.76,49.93,59.77,0
0,0,82.59,2,4,70.33,89.11,0,0
1,69.08,77.04,1,3,74.05,0,78.32,73.88
1,73.43,55.04,2,3,73.11,69.4,57.39,0
1,58.02,95.26,3,3,71.89,84.29,71,0
0,0,87.7,3,1,58.22,0,99.19,0
0,0,68.32,1,3,69.85,76.75,0,0
0,0,73.78,3,3,76.9,0,83.64,0
1,79.29,83.24,1,2,62.05,86.74,0,88.54
0,0,68.28,2,4,79.38,0,81.3,0
0,0,77.3,1,4,65.44,0,0,86.96
0,0,81.05,3,1,69.38,0,0,94.4
0,0,59.85,2,3,73.66,0,68.66,0
0,0,63.98,3,3,68.56,0,0,74.95
0,0,79.21,2,3,70.99,85.8,0,0
1,41.61,74.61,2,3,67.28,54.69,60.13,0
1,62.75,79.24,2,1,74.61,0,62.81,0
1,85.06,68.67,2,2,61.46,80.25,78.92,0
0,0,67.11,3,4,57.89,0,0,75.26
0,0,50.01,1,2,59.69,0,59.16,0
1,49.69,58.54,2,3,59.39,49.61,59.06,0
1,58.24,70.47,3,2,70.19,57.4,54.66,0
1,66.99,78.25,3,2,83.24,72.47,0,64.92
0,0,75.31,3,4,74.18,0,83.84,0
1,53.19,68.72,1,2,73.02,60.94,0,58.5
0,0,67.28,3,2,74.72,0,77.15,0
1,46.23,72.17,3,2,63.39,50.9,55.64,0
0,0,70.78,1,1,67.87,0,0,78.6
1,72.3,84.05,3,1,50.01,83.45,0,0
1,80.4,71.46,3,1,64.74,0,78.5,0
1,58.64,55.19,1,2,59.48,63.89,0,56.7
0,0,57.27,1,1,61.41,0,0,70.89
1,75.52,85.19,1,2,53.38,76.69,0,81.17
0,0,58.29,2,2,62.92,65.71,0,0
0,0,77.64,1,1,76.08,88.25,0,0
1,55.43,67.32,2,3,65.84,54.03,0,71.24
0,0,68.3,2,2,67.24,85.9,0,0
1,58.92,68.66,1,2,56.29,0,57.3,62.43
0,0,82.21,2,4,67.32,0,93.92,0
0,0,68.07,3,1,70.25,77.1,0,0
1,64.3,69.67,3,4,56.22,58.22,64.69,0
0,0,54.69,1,2,55.67,0,0,62.19
0,0,72.07,2,4,58.15,0,0,84.54
0,0,75.31,3,2,59.57,0,84.93,0
0,0,72.39,2,4,64.67,0,0,81.64
0,0,83.98,2,2,65.99,0,93.69,0
0,0,70.55,3,1,61.41,0,78.59,0
0,0,72.99,1,4,88.23,81.81,0,0
0,0,86.49,2,4,79.21,0,95.92,0
0,0,54.5,3,3,61.84,0,0,64.53
1,46.01,65.44,1,3,89.05,59.31,0,56.92
0,0,84.26,2,1,75.41,0,93.22,0
1,66.79,79.36,2,2,74.41,0,69.15,67.37
1,61.47,76.78,2,3,64.9,0,71.64,69.24
0,0,78.33,2,1,64.78,91.32,0,0
1,50.26,73.27,1,1,61.48,0,54.78,0
1,59.65,86.32,2,2,72.24,67.83,0,66.27
1,76.19,73.78,3,2,61.22,70.05,82.34,0
0,0,72.4,3,4,69.65,0,0,88
0,0,71.59,3,4,68.28,0,79.29,0
1,51.81,71.93,1,1,74.68,64.86,0,0
1,31.73,58.43,3,1,68.27,53.14,0,0
1,30.81,77.71,2,1,62.04,60.99,0,0
1,46.31,68.7,2,4,76.63,0,60.8,52.94
0,0,88.22,3,3,80.91,0,0,98.48
1,65.9,69.24,1,2,72.07,0,61.59,66.53
0,0,74.21,1,1,56.59,0,83.63,0
1,75.26,72.47,2,4,68.47,66.72,76.35,0
0,0,63.74,2,4,70.78,0,0,73.2
0,0,79.92,3,2,72.69,92.45,0,0
0,0,89.05,1,3,80.65,0,0,100
0,0,69.85,3,1,55.04,0,78.01,0
1,71.33,67,2,2,70.16,63.48,0,74.95
1,73.01,66.45,2,4,71.62,0,71.98,62.05
1,50.15,51.08,3,3,84.35,0,57.35,45.18
1,17.48,68.22,1,1,67.93,42.76,0,0
1,91.75,72.51,2,4,72.47,0,90.23,86.02
0,0,80.55,2,4,76.71,0,91.51,0
1,59.46,79.6,1,2,70.75,0,73.87,67.35
0,0,65.84,2,4,71.59,0,0,76.06
1,64.96,67.23,1,1,63.17,58.68,0,0
0,0,81.24,1,4,59.83,0,90.38,0
1,37.46,68.27,2,2,70.31,55.52,46.38,0
0,0,64.9,3,2,62.34,76.28,0,0
